title,theme,question,answer
Денежно-кредитная политика,Управление ликвидностью,"Какое отношение к денежно-кредитной политике имеет управление ликвидностью банковского сектора и ставками денежного рынка, которое осуществляет Банк России?","Управление банковской ликвидностью и ставками денежного рынка — неотъемлемый этап проведения денежно-кредитной политики. В дополнение к основной цели — поддержанию ценовой стабильности — Банк России устанавливает операционную цель — сближение ставок в сегменте «овернайт» денежного рынка с ключевой ставкой. Управляя банковской ликвидностью и ставками денежного рынка через операции с банками, Банк России достигает операционной цели и таким образом транслирует свои решения об ужесточении или смягчении денежно-кредитной политики в экономику."
Денежно-кредитная политика,Управление ликвидностью,Что такое банковская ликвидность? Как банки ее используют?,"В контексте денежно-кредитной политики под ликвидностью понимаются средства на корреспондентских счетах (корсчетах) банков в Банке России. Банки используют эти средства для расчетов друг с другом и с Банком России через его платежную систему. В некоторых случаях расчеты можно провести только через корсчета в центральном банке. Поэтому в определенном смысле можно сказать, что ликвидность — это деньги банков."
Денежно-кредитная политика,Управление ликвидностью,От чего зависит объем ликвидности у банков?,"Некоторые платежи приводят к перераспределению средств между корсчетами разных банков, при этом общий объем ликвидности банковского сектора не меняется. Но есть и операции, вызывающие изменение совокупного объема корсчетов, — это платежи, одной стороной по которым является банк, а другой — Банк России или его клиент. Такие операции принято называть факторами формирования ликвидности. К ним относятся автономные факторы — те операции, на которые регулятор не может повлиять (по крайней мере в рамках проведения денежно-кредитной политики), и собственно операции Банка России по управлению ликвидностью."
Денежно-кредитная политика,Управление ликвидностью,Сколько ликвидности нужно банковскому сектору?,"В течение дня банки проводят очень большой объем платежей. Для этого они используют как остатки средств на корсчетах, так и внутридневной кредит Банка России.
Регулятор устанавливает обязательные резервные требования — требования поддерживать на счетах в Банке России определенные остатки средств. Банки могут поддерживать часть обязательных резервов на корсчетах, одновременно используя их для проведения платежей. При этом корсчет банка за каждый день может быть любым — главное, чтобы средний корсчет за установленный Банком России период усреднения превышал объем обязательных резервов, который нужно поддержать на таких счетах."
Денежно-кредитная политика,Управление ликвидностью,Что такое денежный рынок и зачем он нужен?,"В результате перетока средств между корсчетами разных банков, они регулярно сталкиваются с недостатком или избытком ликвидности. Для того чтобы разместить лишние средства или привлечь необходимую ликвидность, банки заключают друг с другом краткосрочные сделки кредитования. Предпосылкой для активного межбанковского рынка являются обязательные резервные требования, благодаря которым на корсчетах банков всегда есть свободные средства, которые можно разместить на рынке по высоким ставкам в случае наличия спроса. Активности участников рынка также способствуют операции Банка России по управлению ликвидностью, с их помощью обеспечивается наличие как спроса, так и предложения практически в любой ситуации. Таким образом, Банк России, сам являясь участником межбанковского денежного рынка, влияет на его ставки и тем самым — на экономику."
Денежно-кредитная политика,Управление ликвидностью,Как Банк России управляет объемом ликвидности банковского сектора?,"Объем ликвидности банковского сектора постоянно изменяется в результате действия автономных факторов. Поэтому, чтобы обеспечивать баланс спроса и предложения средств на межбанковском денежном рынке, Банк России проводит операции по управлению ликвидностью. Для этого он оценивает ожидаемые изменения спроса на ликвидность и ее предложения и на основании этих оценок определяет, какой объем средств необходимо предоставить или привлечь у банков, чтобы компенсировать дефицит или избыток ликвидности в банковском секторе. При этом Банк России не учитывает ситуацию с ликвидностью у отдельных банков, предполагая, что они смогут перераспределить средства через операции на денежном рынке. Банк России проводит операции в основном в форме аукционов по ставкам, близким к ключевой. Однако при необходимости банки всегда могут обратиться к операциям постоянного действия Банка России по менее выгодным ставкам."
Денежно-кредитная политика,Управление ликвидностью,Как Банк России влияет на краткосрочные ставки денежного рынка?,"Система инструментов денежно-кредитной политики и операции Банка России по управлению ликвидностью создают предпосылки для формирования краткосрочных ставок денежного рынка вблизи ключевой ставки. В условиях равенства спроса и предложения ликвидности в банковском секторе, ставки по операциям постоянного действия ограничивают колебания ставок межбанковского рынка и одновременно формируют для кредиторов и заемщиков равные альтернативные издержки от заключения сделок по ключевой ставке. Аукционы Банка России, проводимые по ставкам, близким к ключевой, создают для банков альтернативу операциям на денежном рынке. Наконец, механизм усреднения обязательных резервов позволяет банкам отказаться от операций на невыгодных для них условиях, гибко изменяя предложение или спрос на рынке в зависимости от уровня ставок."
Денежно-кредитная политика,Управление ликвидностью,Что такое структурный дефицит/профицит ликвидности банковского сектора?,"Структурный дефицит или профицит ликвидности — это состояние баланса центрального банка, которое формируется за счет длительного накопленного действия факторов формирования ликвидности. Структурный дефицит или профицит характеризует направление и объем требований центрального банка к банкам (или соответствующих обязательств) по возвратным операциям денежно-кредитной политики. Структура баланса центрального банка определяется и долгосрочными макроэкономическими тенденциями, такими как динамика спроса населения на наличные средства в обращении, и тактическими решениями центрального банка или его клиентов, такими как покупка активов на внутреннем рынке или использование ранее накопленных средств для финансирования дефицита бюджета. Сам по себе структурный дефицит или профицит не характеризует состояние экономики или финансового сектора и определяет только то, как именно центральный банк управляет ликвидностью и ставками денежного рынка."
Денежно-кредитная политика,Управление ликвидностью,Какова связь между ликвидностью банковского сектора и кредитованием банками экономики?,"Банки выполняют важную функцию в экономике — они создают деньги. Выдавая кредит, банк зачисляет средства на расчетный счет клиента, поэтому корсчета в центральном банке в процессе кредитования не задействуются. Банковское кредитование практически (за исключением некоторых небольших вторичных эффектов) не влияет на ликвидность банковского сектора. Аналогично и ситуация с ликвидностью не влияет на кредитование: структурный дефицит ликвидности не заставит банки отказаться от вложений в доходные активы, а в условиях структурного профицита банки не будут готовы размещать средства на менее выгодных условиях (то есть по более низким ставкам), чем им готов предложить центральный банк."
Денежно-кредитная политика,Эталонная процентная ставка RUONIA,Что такое RUONIA?,"RUONIA — процентная ставка, по которой крупные кредитные организации предоставляют друг другу необеспеченные кредиты на один рабочий день."
Денежно-кредитная политика,Эталонная процентная ставка RUONIA,Что измеряет RUONIA?,RUONIA отражает стоимость денег (ликвидности) для банков на краткосрочном сегменте межбанковского рынка и позволяет судить о состоянии спроса и предложения на ликвидность.
Денежно-кредитная политика,Эталонная процентная ставка RUONIA,Кто рассчитывает RUONIA?,"Банк России является администратором RUONIA — он отвечает за все функции, связанные со сбором данных, их обработкой, методикой, расчетом и публикацией значений RUONIA."
Денежно-кредитная политика,Эталонная процентная ставка RUONIA,Для чего RUONIA нужна Банку России?,Операционной целью денежно-кредитной политики Банка России является удержание процентных ставок межбанковского рынка вблизи ключевой ставки Банка России. Наряду с другими индикаторами разница между RUONIA и ключевой ставкой отражает эффективность достижения Банком России своей операционной цели.
Денежно-кредитная политика,Эталонная процентная ставка RUONIA,Для чего RUONIA нужна Правительству?,"Министерство финансов выпускает облигации федерального займа с привязкой купона к RUONIA, а Федеральное казначейство привязывает к RUONIA стоимость размещения временно свободных бюджетных средств."
Денежно-кредитная политика,Эталонная процентная ставка RUONIA,Для чего RUONIA нужна участникам финансового рынка?,"RUONIA может использоваться в ценообразовании широкого круга финансовых инструментов, включая корпоративные кредиты и облигации. В наибольшей степени она участвует в ценообразовании на рынке деривативов, которые позволяют хеджировать процентный риск."
Денежно-кредитная политика,Эталонная процентная ставка RUONIA,Почему RUONIA считается «эталонной» ставкой?,"RUONIA выступает ценовым эталоном, то есть индикатором, сопоставление значений которого позволяет анализировать стоимость других процентных финансовых инструментов, оценивать состояние кредитного или долгового рынков, а также их отдельных сегментов. Отличительной чертой эталонной процентной ставки является то, что на нее ссылаются другие финансовые инструменты."
Денежно-кредитная политика,Эталонная процентная ставка RUONIA,RUONIA является уникальным индикатором?,"Похожие процентные ставки, служащие операционной целью денежно-кредитной политики, есть у всех центральных банков, реализующих режим инфляционного таргетирования. К примеру, €STR у Европейского центрального банка, SONIA у Банка Англии, TONA у Банка Японии и др."
Наличное денежное обращение,,Зачем Банк России проводит модернизацию банкнот?,Для повышения защищенности от подделки российских денежных знаков.
Наличное денежное обращение,,Какие номиналы уже модернизированы?,"Банк России ввел в обращение модернизированные банкноты:

100 рублей выпуска 2022 года,
5000 рублей выпуска 2023 года."
Наличное денежное обращение,,Что будет дальше с банкнотами образца 1997 года?,"Банкноты образца 1997 года являются законным средством платежа и остаются в обращении наравне с модернизированными банкнотами после их ввода.
Со временем банкнот образца 1997 года в обороте станет меньше, так как из-за износа, загрязнения, повреждений они постепенно будут заменены на модернизированные."
Наличное денежное обращение,,У меня есть банкноты образца 1997 года. Что мне с ними делать? Надо ли их менять на новые банкноты?,"Банкноты образца 1997 года, наравне с модернизированными, являются законным средством платежа. Продолжайте использовать их, как и раньше: оплачивайте товары и услуги, совершайте переводы, кладите на счет в банк или храните дома.
Эти банкноты не надо специально обменивать на модернизированные. Обмену подлежат только поврежденные банкноты. Но в случае обращения банк на замену может выдать любые находящиеся в обращении банкноты без повреждений, в том числе образца 1997 года."
Наличное денежное обращение,,Где и как можно обменять поврежденные банкноты Банка России?,"Для решения вопроса об обмене поврежденных банкнот Банка России необходимо обратиться в любую кредитную организацию, осуществляющую операции с наличными деньгами.
В случае сомнения кассового работника кредитной организации в платежеспособности поврежденной банкноты Банка России указанная банкнота направляется на экспертизу в подразделение Банка России.
Согласно Положению Банка России от 29.01.2018 № 630-П «О порядке ведения кассовых операций и правилах хранения, перевозки и инкассации банкнот и монеты Банка России в кредитных организациях на территории Российской Федерации» кредитная организация обязана принять от клиента на основании его заявления поврежденную банкноту для ее передачи на экспертизу в подразделение Банка России.
Поврежденная банкнота Банка России, признанная по результатам проведенной в подразделении Банка России экспертизы платежеспособной, обменивается Банком России, и кредитная организация возвращает ее сумма клиенту способом, указанным в его заявлении. Поврежденная банкнота Банка России, признанная по результатам экспертизы неплатежеспособной, не имеющей признаков подделки, возвращается клиенту.
Прием и передача поврежденной банкноты Банка России на экспертизу в подразделение Банка России, а также возмещение клиенту суммы обмененной банкноты должны осуществляться кредитной организацией без взимания комиссионного вознаграждения."
Наличное денежное обращение,,"Правомочны ли предприятия торговли отказывать гражданам в приеме банкнот Банка России, имеющих незначительные повреждения?","В соответствии со ст. 34 Федерального закона от 10.07.2002 № 86-ФЗ «О Центральном банке Российской Федерации (Банке России)» Банк России устанавливает признаки платежеспособности банкнот и монеты Банка России (Указание Банка России от 26.12.2006 № 1778-У «О признаках платежеспособности и правилах обмена банкнот и монеты Банка России», с изменениями.)
Денежные знаки Банка России с повреждениями, указанными в п. 1 Указания Банка России № 1778-У, обязательны к приему во все виды платежей на территории Российской Федерации всеми предприятиями, организациями и учреждениями независимо от формы собственности и сферы деятельности."
Наличное денежное обращение,,Почему отказывают в приеме монет мелкого номинала? Законно ли это?,Монеты Банка России номиналом 1 копейка и 5 копеек являются законным средством наличного платежа на территории РФ и обязательны к приему по номиналу во все виды платежей без всяких ограничений.
Наличное денежное обращение,,"Почему в оформлении разменных монет (номиналы 1, 5, 10, 50 копеек) используется изображение святого Георгия Победоносца? Монеты указанных номиналов не представляют большой ценности, и население часто относится к ним и образу святого пренебрежительно.","В оформлении разменных монет Банка России образца 1997 года изображение Георгия Победоносца используется в качестве стилизованного геральдического знака.
Начиная с XIII века на Руси и в соседних государствах изображение Георгия Победоносца используется в качестве элемента государственной символики — на княжеских печатях, штандартах, гербах. Оно было элементом государственного герба Российской империи и присутствует также на Государственном гербе Российской Федерации.
Всадник с копьем изображается на монетах с XVI века, когда денежной реформой Елены Глинской были введены в обращение первые русские общегосударственные монеты (копейка, денга, полушка). Считается, что такой символ мог прийти из Новгорода, где был популярен культ св. Георгия, к тому времени изображавшегося обычно на коне.
В продолжение традиции основным элементом оформления аверса разменных монет Банка России образца 1997 года номиналами 1, 5, 10 и 50 копеек стало стилизованное изображение Георгия Победоносца."
Наличное денежное обращение,,"Почему Банк России не выпускает в обращение денежные знаки, частично содержащие драгоценные металлы или полностью из них изготовленные, для использования в денежных расчетах?","Денежные знаки, полностью или частично изготовленные из драгоценных металлов, могут выполнять роль реальных платежных средств только при неизменных ценах на драгоценные металлы, когда обе ценовые характеристики денежного знака (его фиксированный номинал и его «металлическая стоимость») эквивалентны и остаются постоянными величинами. В наше время невозможно обеспечить стабильность этого соотношения, так как номинал денежного знака остается фиксированной величиной, а его «металлическая стоимость» постоянно и непредсказуемо изменяется под воздействием плавающих цен мирового рынка на драгоценные металлы. В России данная экономическая реалия находит правовое отражение в ст. 28 Федерального закона от 10.07.2002 года № 86-ФЗ «О Центральном банке Российской Федерации (Банке России)», в соответствии с которой официальное соотношение между рублем и золотом или другими драгоценными металлами не устанавливается.
Предложение об использовании в денежных расчетах серебряных и золотых «монет», на которых не указаны рублевые номиналы, путем учета текущей рыночной стоимости заключенного в монете драгоценного металла не может рассматриваться в рамках денежной системы. Методика товарообменных операций с использованием такого рода «монет» относится к классическим образцам товарного бартера."
Наличное денежное обращение,,"Правомерен ли отказ в приеме монеты Банка России торгово-сервисными организациями при приеме от физических лиц наличных денег за проданные товары, оказанные услуги?","Согласно ст. 140 Гражданского кодекса Российской Федерации рубль является законным платежным средством, обязательным к приему по нарицательной стоимости на всей территории Российской Федерации.
В соответствии со ст. 29 и 30 Федерального закона от 10.07.2002 № 86-ФЗ «О Центральном банке Российской Федерации (Банке России)» (Закон № 86-ФЗ) банкноты и монета Банка России являются единственным законным средством наличного платежа на территории РФ. Они обязательны к приему по нарицательной стоимости при осуществлении всех видов платежей, для зачисления на счета, во вклады и для перевода на всей территории РФ.
Банк России в соответствии со ст. 4 Закона № 86-ФЗ осуществляет надзор за деятельностью кредитных организаций и банковских групп, а также регулирование, контроль и надзор за деятельностью некредитных финансовых организаций.
В соответствии с Положением о Федеральной службе по надзору в сфере защиты прав потребителей и благополучия человека, утвержденным Постановлением Правительства РФ от 30.06.2004 № 322, надзор и контроль за исполнением обязательных требований законодательства РФ в области защиты прав потребителей и в области потребительского рынка осуществляет Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор) — федеральный орган исполнительной власти, в функции которого входят выработка и реализация государственной политики и нормативно-правовое регулирование в сфере защиты прав потребителей."
Наличное денежное обращение,,"Где найти информацию по памятным и инвестиционным монетам, выпускаемым в обращение Банком России?",Информация о выпускаемых в обращение памятных и инвестиционных монетах Банка России размещена на официальном сайте Банка России
Наличное денежное обращение,,Как распределяются памятные монеты из недрагоценных металлов?,"Монеты Банка России, в том числе памятные монеты из недрагоценных металлов, выдаются из касс учреждений Банка России кредитным организациям — клиентам Банка России по номинальной стоимости. Банк России не осуществляет операции с физическими лицами.
Памятные монеты из недрагоценных металлов доставляются во все территориальные учреждения Банка России пропорционально численности проживающего в регионе населения.
В территориальные учреждения Банка России, расположенные на территории субъекта Российской Федерации, которому посвящен выпуск соответствующей памятной монеты, доставка осуществляется с учетом потребностей данного региона.
Указанные монеты доставляются вместе с банкнотами и разменной монетой.
Распространение на территории Российской Федерации памятных монет из недрагоценных металлов с цветным изображением в сувенирной упаковке осуществляют кредитные организации, с которыми заключено соглашение о передаче Банком России памятных и инвестиционных монет — валюты Российской Федерации, и АО «Гознак»."
Наличное денежное обращение,,Как физическое лицо может приобрести памятные и инвестиционные монеты на территории РФ?,"Банк России в соответствии со своим статусом не проводит операции с физическими лицами. По вопросам приобретения памятных и инвестиционных монет из драгоценных металлов, а также монет из недрагоценных металлов в сувенирной упаковке следует обращаться в кредитные организации и АО «Гознак». Со списком организаций, с которыми заключены соглашения о передаче Банком России памятных и инвестиционных монет — валюты Российской Федерации — можно в разделе «Памятные и инвестиционные монеты».
Памятные монеты из недрагоценных металлов обычного качества без сувенирной упаковки выпускаются в обращение по их номинальной стоимости через кассы учреждений Банка России в общей массе наличных денег."
Наличное денежное обращение,,Как физическое лицо может приобрести памятные и инвестиционные монеты за рубежом?,"Банк России в соответствии со своим статусом не проводит операции с физическими лицами. По вопросам приобретения памятных и инвестиционных монет из драгоценных металлов, а также монет из недрагоценных металлов в сувенирной упаковке следует обращаться к официальным распространителям памятных и инвестиционных монет Банка России за рубежом:
1) MDM Münzhandelsgesellschaft mbH & Co. KG Deutsche Münze
Theodor-Heuss-Straße 7, 38097 Braunschweig, http://www.mdm.de/
2) Weka Muenzhandels GmbH Am Lehenweg 11
60437 Frankfurt/Germany, www.wekamuenzen.de
3) EMPORIUM HAMBURG Münzhandelsgesellschaft mbH Störtebeker-Haus
Süderstraße 288, 20537 Hamburg, www.Emporium-Hamburg.com
4) Schoeller Münzhandel GmbH, Renngasse 14, A-1010 Wien, Austria
www.smh.net
5) Modern Numismatics International P.O.Box 385, 1270 AJ Huizen, The Netherlands. www.mnint.eu"
Наличное денежное обращение,,Каков тираж выпускаемых памятных монет из недрагоценных металлов?,"Информация о фактических тиражах, а также технических параметрах памятных монет из драгоценных и недрагоценных металлов, выпущенных в обращение Банком России, размещена в базе данных по памятным и инвестиционным монетам."
Наличное денежное обращение,,"Почему количество монет Банка России из недрагоценных металлов, предназначенных для коллекционирования, ограничено?","Ограничение связано с техническими возможностями АО «Гознак», а также с особенностями перевозки и распространения данных монет по территории Российской Федерации."
Наличное денежное обращение,,"Почему на инвестиционных монетах появляются пятна, как влияет их наличие на качество монет?","Главное требование, предъявляемое к инвестиционным монетам — соответствие заявленным параметрам по массе химически чистого драгоценного металла, что, в свою очередь, обеспечивается отсутствием механических повреждений.
В ряде случаев, в зависимости от условий хранения, на монетах могут появляться пятна, представляющие собой окислы металлов и микроскопические частицы различных веществ, попадающие на поверхность.
Наличие таких пятен не характеризует эти монеты как дефектные."
Наличное денежное обращение,,Может ли физическое лицо продать памятные или инвестиционные монеты банку?,"Банк России не регламентирует вопросы обратного выкупа кредитными организациями монет у населения. Вместе с тем, необходимо отметить, что ряд кредитных организаций осуществляет выкуп монет у населения."
Наличное денежное обращение,,"Почему на банкнотах и монетах Банка России помещен герб Временного правительства 1917 г., а не герб Российской Федерации?","На денежных знаках Банка России помещается его официальная эмблема — изображение двуглавого орла с опущенными крыльями и надпись полукругом «БАНК РОССИИ». В 1992 г. в условиях отсутствия государственной символики Российской Федерации эта эмблема была помещена на аверсах новых образцов монет, которые были утверждены Постановлением Президиума Верховного Совета Российской Федерации от 17.07.1992 № 3352-1 «О монетах нового образца, выпускаемых в обращение». Начиная с 1995 г. указанная эмблема помещается и на билетах Банка России.
В 2001 г. эмблема Банка России в установленном порядке внесена в Государственный геральдический регистр Российской Федерации под № 687.
Изображение орла на эмблеме Банка России несколько отличается от изображения орла, исполненного в 1917 г. художником Билибиным И.Я. для государственного символа Временного правительства России.
Использование Банком России своей эмблемы для оформления денежных знаков не противоречит законодательству Российской Федерации. Ст. 7 Федерального конституционного закона № 2-ФКЗ от 25.12.2000 «О Государственном гербе Российской Федерации» устанавливает, что Государственный герб Российской Федерации может помещаться на денежных знаках, то есть помещение герба на денежных знаках не является обязательным.
В соответствии с указанной нормой закона Банк России поместил изображение Государственного герба Российской Федерации на аверсах памятных монет, посвященных XXII Олимпийским зимним играм и XI Паралимпийским зимним играм 2014 года в г. Сочи. Кроме того, начиная с 2016 г. чеканки  на аверсах всех монет, в оформлении которых использовалась эмблема Банка России, размещается изображение Государственного герба Российской Федерации. Также изображение Государственного герба Российской Федерации размещено на банкнотах Банка России образца 2017 г. и памятных банкнотах Банка России номиналом 100 рублей, посвященных Чемпионату мира по футболу FIFA 2018 года."
